ticker,name,source,status,message,parsed_facts,output_record
80JT,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_80JT_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/abignitisgrupe.com/xbrl/2023/abignitisgrupe-2025-12-31_def.xml,empty,parsed 0 numeric facts,0,
80JT,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_80JT_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/abignitisgrupe.com/xbrl/2023/abignitisgrupe-2025-12-31_lab-en.xml,empty,parsed 0 numeric facts,0,
80JT,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_80JT_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/abignitisgrupe.com/xbrl/2023/abignitisgrupe-2025-12-31_pre.xml,empty,parsed 0 numeric facts,0,
80JT,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_80JT_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
80JT,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_80JT_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
80JT,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_80JT_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/reports/5493005RZJHJT5PNHY10-2025-12-31.xhtml,parsed,ok,412,
IGN,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_IGN_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/abignitisgrupe.com/xbrl/2023/abignitisgrupe-2025-12-31_cal.xml,empty,parsed 0 numeric facts,0,
IGN,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_IGN_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/abignitisgrupe.com/xbrl/2023/abignitisgrupe-2025-12-31_def.xml,empty,parsed 0 numeric facts,0,
IGN,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_IGN_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/abignitisgrupe.com/xbrl/2023/abignitisgrupe-2025-12-31_lab-en.xml,empty,parsed 0 numeric facts,0,
IGN,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_IGN_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/abignitisgrupe.com/xbrl/2023/abignitisgrupe-2025-12-31_pre.xml,empty,parsed 0 numeric facts,0,
IGN,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_IGN_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
IGN,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_IGN_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
IGN,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_IGN_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/reports/5493005RZJHJT5PNHY10-2025-12-31.xhtml,parsed,ok,412,
ASLI,abrdn European Logistics Income plc,ac966f59ba_ASLI_2024_NI-000119021_213800I9IYIKKNRT3G50-2024-12-31.zip!213800I9IYIKKNRT3G50-2024-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
ASLI,abrdn European Logistics Income plc,ac966f59ba_ASLI_2024_NI-000119021_213800I9IYIKKNRT3G50-2024-12-31.zip!213800I9IYIKKNRT3G50-2024-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
ASLI,abrdn European Logistics Income plc,ac966f59ba_ASLI_2024_NI-000119021_213800I9IYIKKNRT3G50-2024-12-31.zip!213800I9IYIKKNRT3G50-2024-12-31/reports/213800I9IYIKKNRT3G50-2024-12-31-T01.xhtml,parsed,ok,309,
ASLI,abrdn European Logistics Income plc,ac966f59ba_ASLI_2024_NI-000119021_213800I9IYIKKNRT3G50-2024-12-31.zip!213800I9IYIKKNRT3G50-2024-12-31/aberdeeneuropean.com/xbrl/2024/aberdeeneuropean-2024-12-31_cal.xml,empty,parsed 0 numeric facts,0,
ASLI,abrdn European Logistics Income plc,ac966f59ba_ASLI_2024_NI-000119021_213800I9IYIKKNRT3G50-2024-12-31.zip!213800I9IYIKKNRT3G50-2024-12-31/aberdeeneuropean.com/xbrl/2024/aberdeeneuropean-2024-12-31_def.xml,empty,parsed 0 numeric facts,0,
ASLI,abrdn European Logistics Income plc,ac966f59ba_ASLI_2024_NI-000119021_213800I9IYIKKNRT3G50-2024-12-31.zip!213800I9IYIKKNRT3G50-2024-12-31/aberdeeneuropean.com/xbrl/2024/aberdeeneuropean-2024-12-31_lab-en.xml,empty,parsed 0 numeric facts,0,
ASLI,abrdn European Logistics Income plc,ac966f59ba_ASLI_2024_NI-000119021_213800I9IYIKKNRT3G50-2024-12-31.zip!213800I9IYIKKNRT3G50-2024-12-31/aberdeeneuropean.com/xbrl/2024/aberdeeneuropean-2024-12-31_pre.xml,empty,parsed 0 numeric facts,0,
API,abrdn Property Income Trust Limited,c98e14d77d_API_2024_NI-000120082_549300HHFBWZRKC7RW84-2024-12-31.zip!549300HHFBWZRKC7RW84-2024-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
API,abrdn Property Income Trust Limited,c98e14d77d_API_2024_NI-000120082_549300HHFBWZRKC7RW84-2024-12-31.zip!549300HHFBWZRKC7RW84-2024-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
